k,delta_omega,n_runs,r_mean,r_sd,plv_mean,plv_sd,anti_mean,anti_sd
-2.0,0.0,5,7.326589447904676e-14,5.09002687580102e-14,1.0,1.5700924586837752e-16,0.9999999999999529,3.121928588831561e-14
-2.0,0.2,5,0.050062775059800446,9.165346448147554e-14,1.0000000000002032,1.9039596577983028e-14,0.9681157195707619,5.956318073054223e-14
-2.0,0.4,5,0.10050896200518815,9.498439143937045e-14,1.0000000000006333,3.666779419719307e-14,0.9359057831510746,6.194537096646489e-14
-2.0,0.6,5,0.15175769928251448,9.687747999667171e-14,1.00000000000055,6.999425690706206e-14,0.903013315979375,7.362865258636169e-14
-2.0,0.8,5,0.20430964368919874,9.51155461971838e-14,1.000000000000357,1.2588470256080535e-13,0.8690101195656119,8.910195160546419e-14
-1.5,0.0,5,9.9083645777314e-14,7.114092326291864e-14,1.0,0.0,0.9999999999999376,4.394804205318373e-14
-1.5,0.2,5,0.06681597929672471,1.193310194085312e-13,0.999999999999163,3.739499133569235e-14,0.9574319129957123,6.915787216984417e-14
-1.5,0.4,5,0.13455701458227323,1.2510274125717895e-13,1.0000000000004632,4.0501690688173965e-14,0.9140777224810386,6.652496755390488e-14
-1.5,0.6,5,0.20430964368918603,1.22739978138348e-13,1.0000000000003413,1.0551284169380949e-13,0.869010119565624,7.394037417553989e-14
-1.5,0.8,5,0.2775741618348681,1.301455892176195e-13,0.9999999999998834,3.2329219807506e-13,0.8209391520249673,1.7783684999825991e-13
-1.0,0.0,5,1.561059932100736e-13,1.0600234855946567e-13,1.0,1.1102230246251565e-16,0.9999999999999025,7.024025382311534e-14
-1.0,0.2,5,0.1005089620051578,1.750283594732845e-13,1.0000000000005926,6.581609598027686e-14,0.9359057831511064,1.0613479525059554e-13
-1.0,0.4,5,0.20430964368916862,1.8452801981964158e-13,1.0000000000003397,1.4234444722014365e-13,0.8690101195656249,1.0089769822945615e-13
-1.0,0.6,5,0.31622776601677705,2.0532827474764648e-13,1.0000000000000009,1.8975188536688753e-13,0.7951672353008931,1.9676567891135754e-13
-1.0,0.8,5,0.4472135954997677,2.338888314739606e-13,0.9999999999999549,2.9159558618974507e-13,0.7048327646992822,2.422780554732381e-13
-0.5,0.0,5,5.052567095814978e-13,1.6183187638813208e-13,1.0,1.1102230246251565e-16,0.9999999999996765,1.0419496319893438e-13
-0.5,0.2,5,0.20430964368894614,3.0358105423078923e-13,1.0000000000002696,2.6107476322690535e-13,0.8690101195657467,1.4412112505361496e-13
-0.5,0.4,5,0.44721359549901046,2.0736894820313057e-12,0.9999999999999286,1.5686103769468016e-13,0.7048327646998803,1.57002377348682e-12
-0.5,0.6,5,0.6652790799525525,0.004012399771868476,0.9684765277734068,0.004423936348753519,0.49244870337644386,0.004804143631460905
-0.5,0.8,5,0.6555493040737497,0.02286834744964672,0.9271560796301547,0.005619171627828325,0.5044764218365536,0.01450272555370081
0.0,0.0,5,0.876412365102618,0.10272802357478528,1.0000000000002522,3.8446987676477293e-13,0.2870843924786048,0.16260244721261052
0.0,0.2,5,0.6504346347050918,0.043165867516498924,0.9933468195331361,8.173228609337229e-14,0.49096240573261063,0.03607420035272913
0.0,0.4,5,0.6114919866023432,0.02265985637386889,0.973546504802529,1.6145409508410217e-13,0.5255596976407202,0.01789495790992546
0.0,0.6,5,0.624860286140363,0.02940435960444883,0.9410722005994279,9.18212165777835e-14,0.5015849170732549,0.02520358817671558
0.0,0.8,5,0.6529022248109596,0.01136935144119982,0.8966975048157106,1.674086741019132e-13,0.48214576882575166,0.01592834519876781
